radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size
2,15,8,0.041025641025641,2.86666666666667,3
4,17,18,0.0923076923076923,4.64705882352941,3
6,29,28,0.143589743589744,3.96551724137931,2
8,26,32,0.164102564102564,5.38461538461539,3
10,24,32,0.164102564102564,6.375,3
12,19,57,0.292307692307692,8.31578947368421,4
14,13,100,0.512820512820513,12.3846153846154,3
16,10,143,0.733333333333333,16.8,2
18,9,145,0.743589743589744,19,3
20,9,145,0.743589743589744,19.1111111111111,3
22,8,147,0.753846153846154,21.75,3.5
24,6,159,0.815384615384615,29.3333333333333,3
26,6,159,0.815384615384615,29.3333333333333,3
28,6,159,0.815384615384615,29.6666666666667,4.5
30,6,161,0.825641025641026,30.1666666666667,4.5
32,6,162,0.830769230769231,30.3333333333333,4.5
34,4,163,0.835897435897436,45.75,9
36,5,163,0.835897435897436,37,8
38,5,163,0.835897435897436,37.2,8
40,5,163,0.835897435897436,37.2,8
42,4,172,0.882051282051282,46.75,6.5
44,2,185,0.948717948717949,93.5,93.5
46,2,185,0.948717948717949,93.5,93.5
48,2,187,0.958974358974359,94.5,94.5
50,2,187,0.958974358974359,95,95
52,1,192,0.984615384615385,192,192
54,1,192,0.984615384615385,192,192
56,1,192,0.984615384615385,192,192
58,1,192,0.984615384615385,192,192
60,1,192,0.984615384615385,192,192
