PlcIndex,ClstRad2,ClstRad4,ClstRad6,ClstRad8,ClstRad10,ClstRad12,ClstRad14,ClstRad16,ClstRad18,ClstRad20,ClstRad22,ClstRad24,ClstRad26,ClstRad28,ClstRad30,ClstRad32,ClstRad34,ClstRad36,ClstRad38,ClstRad40,ClstRad42,ClstRad44,ClstRad46,ClstRad48,ClstRad50,ClstRad52,ClstRad54,ClstRad56,ClstRad58,ClstRad60
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
10,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,NA,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
104,2,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
106,NA,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
107,NA,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
108,3,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
109,3,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
11,NA,NA,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,2,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
112,NA,5,12,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
118,3,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
12,NA,NA,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,2,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
124,NA,5,12,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
127,NA,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
128,NA,4,11,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
129,NA,NA,NA,13,13,11,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
130,NA,NA,NA,14,14,12,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
131,NA,NA,NA,NA,8,8,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
134,NA,NA,NA,NA,8,8,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
135,NA,NA,NA,NA,8,8,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
136,NA,NA,13,15,15,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
137,NA,NA,13,15,15,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
138,4,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
14,NA,NA,NA,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
141,5,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
143,6,7,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
144,6,7,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
145,NA,NA,NA,NA,NA,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
146,7,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
147,8,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
148,7,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
15,NA,NA,NA,NA,NA,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
155,6,7,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
16,NA,NA,NA,5,5,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
164,6,7,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
166,NA,NA,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
167,6,7,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
169,9,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
17,NA,NA,NA,5,5,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
170,9,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
171,6,7,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
172,7,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
173,6,7,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
175,NA,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
176,NA,NA,NA,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
178,10,8,15,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
179,11,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1
180,8,6,14,16,16,13,8,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
