"ID1" "ID2" "d12"
2 68 102.44
2 129 47.24
2 154 48.54
2 165 62.75
2 175 48.44
2 184 67.29
2 192 46.7
2 195 86.2
2 3 85.02
2 10 74.4
2 1 76.3
2 26 184.53
2 34 197.56
2 36 190.76
2 41 187.09
2 61 178.14
2 111 184.18
2 118 144.58
2 121 172.28
2 126 173.16
2 139 187.04
2 147 178.21
2 148 189.87
2 149 179.06
2 150 178.55
2 151 175.18
2 152 179.8
2 153 191.89
2 155 183.78
2 156 158.4
2 163 187.49
2 164 188.8
2 166 185.95
2 167 193.42
2 168 54.24
2 169 74.58
2 170 95.6
2 171 194.95
2 172 164.94
2 173 163.5
2 174 174.15
2 176 176.52
2 177 177.26
2 178 185.42
2 179 179.83
2 182 197.38
2 185 191.36
2 187 192.21
2 190 177.87
2 191 187.55
2 193 189.43
2 194 182.74
2 196 189.36
2 4 166.91
2 5 173.39
2 6 174.26
2 7 169
2 8 170.12
2 9 170.61
2 11 173.01
2 12 183.35
2 13 171.96
2 14 171.68
2 15 181.46
2 16 175.34
2 17 166.7
2 19 160
2 20 182.51
2 21 184.44
2 22 174.18
2 23 132.27
2 24 127.86
2 25 161.59
2 27 160.31
2 28 155.88
2 29 157.28
2 30 148.98
2 31 163.33
2 32 161.21
2 33 162.5
2 35 153.79
2 37 155.62
2 38 155.21
2 39 154.63
2 40 162.25
2 42 163.29
2 43 152.17
2 44 164.97
2 45 156.6
2 47 165.32
2 48 146.88
2 49 171.09
2 50 162.88
2 52 162.5
2 53 163.38
2 55 171.31
2 56 159.23
2 57 182.44
2 58 162.35
2 59 159.72
2 60 162.96
2 62 159.71
2 63 145.23
2 64 164.88
2 65 154.15
2 66 152.95
2 67 159.97
2 69 143.52
2 70 169.73
2 71 159.9
2 72 160
2 73 158.45
2 74 177.65
2 75 198.14
2 76 181.28
2 77 184.87
2 79 178.57
2 80 182.9
2 81 183.17
2 82 178.35
2 83 102.46
2 84 183.25
2 85 186.32
2 86 188.82
2 87 189.95
2 88 168.78
2 89 184.27
2 90 194.44
2 91 184.2
2 92 170.57
2 93 175.79
2 94 157.52
2 95 157.44
2 96 152.4
2 97 149.5
2 98 150.63
2 99 149.63
2 100 149.34
2 101 149.97
2 102 144.66
2 103 141.17
2 104 140.08
2 106 154.26
2 107 138
2 108 119.06
2 109 138.06
2 110 138.33
2 112 157.34
2 113 175.45
2 114 168.37
2 116 186.53
2 117 197.09
2 119 196.58
2 120 192.77
2 122 192.27
2 123 189.68
2 124 194.11
2 125 195.66
2 127 184.58
2 128 191.74
2 130 187.76
2 131 171.85
2 133 184.27
2 134 182.43
2 135 183.51
2 136 177.11
2 137 176.95
2 140 197.35
2 141 160.17
2 142 143.51
2 143 156.76
2 144 153.22
68 129 61.67
68 154 59.15
68 165 53.02
68 175 56.15
68 184 84.66
68 192 131.98
68 195 107.63
68 3 102.24
68 10 32.47
68 1 28.15
68 26 145.26
68 34 140
68 36 138.43
68 41 131.93
68 51 121.94
68 61 114.53
68 111 100.19
68 118 119.77
68 121 138.24
68 126 141.27
68 139 154.76
68 147 142.25
68 148 154.3
68 149 149.92
68 150 146.64
68 151 156.46
68 152 155.57
68 153 91.81
68 155 87.95
68 156 60.68
68 157 190.52
68 160 167.57
68 161 195.59
68 162 157.02
68 163 121.85
68 164 125.75
68 166 84.21
68 167 127.18
68 168 118.71
68 169 130.81
68 170 119.09
68 173 199.19
68 194 199.53
68 83 173.38
68 108 164.07
68 109 163.14
68 110 171.88
68 112 172.11
68 113 177.57
68 114 180.09
68 116 194.91
68 119 189.47
68 120 185.91
68 122 186.51
68 123 182.64
68 124 191.06
68 125 193.21
68 127 190.72
68 128 190.55
68 130 185.14
68 131 172.55
68 132 186.57
68 133 170.6
68 134 168.4
68 135 169.25
68 136 167.5
68 137 166.03
68 138 155.27
68 140 96.5
68 141 60.34
68 142 43.61
68 143 88.15
68 144 64.98
68 145 162.07
68 146 111.93
129 154 2.75
129 165 15.71
129 175 8.63
129 184 37.37
129 192 70.31
129 195 63.42
129 3 59.51
129 10 29.87
129 1 33.54
129 26 177.8
129 34 182.78
129 36 178.21
129 41 173.06
129 51 180.11
129 61 159.75
129 111 155.94
129 118 142.17
129 121 167.38
129 126 169.3
129 139 183.64
129 147 172.72
129 148 185.07
129 149 176.75
129 150 174.95
129 151 177.46
129 152 179.78
129 153 153.48
129 155 148.67
129 156 121.75
129 163 168.49
129 164 171.1
129 166 145.6
129 167 174.34
129 168 86.22
129 169 104.71
129 170 111.41
129 172 191.12
129 173 189.66
129 174 198.46
129 176 199.49
129 4 196.43
129 7 199.22
129 8 199.58
129 9 199.8
129 17 197.48
129 19 190.96
129 23 174.14
129 24 169.43
129 28 199.28
129 30 193.89
129 35 197.03
129 37 198.78
129 38 199.34
129 39 197.88
129 43 195.47
129 45 199.77
129 48 189.4
129 63 188.78
129 65 197.32
129 66 195.9
129 67 199.51
129 69 183.37
129 73 198.62
129 83 141.3
129 94 197.44
129 95 196.19
129 96 192.06
129 97 190.28
129 98 190.67
129 99 187.25
129 100 189.68
129 101 191.11
129 102 183.49
129 103 180.67
129 104 179.14
129 106 195.11
129 107 178.99
129 108 147.31
129 109 158.33
129 110 162.46
129 112 173.96
129 113 187.22
129 114 184.14
129 123 197.91
129 127 198.53
129 130 197.91
129 131 182.81
129 133 189.27
129 134 187.19
129 135 188.21
129 136 183.64
129 137 182.88
129 140 152.43
129 141 121.94
129 142 105.13
129 143 110.36
129 144 106.16
129 145 199.79
129 146 153.44
154 165 15.14
154 175 6.23
154 184 39.46
154 192 72.87
154 195 65.6
154 3 61.59
154 10 27.57
154 1 31.05
154 26 175.34
154 34 180.13
154 36 175.61
154 41 170.44
154 51 177.38
154 61 157.06
154 111 153.19
154 118 139.88
154 121 164.98
154 126 166.93
154 139 181.27
154 147 170.3
154 148 182.66
154 149 174.42
154 150 172.58
154 151 175.28
154 152 177.52
154 153 150.94
154 155 146.02
154 156 119.13
154 163 165.79
154 164 168.41
154 166 143.16
154 167 171.63
154 168 85.91
154 169 104.15
154 170 110
154 172 190.06
154 173 188.6
154 174 197.28
154 176 198.22
154 179 199.79
154 194 199.84
154 4 195.57
154 7 198.4
154 8 198.71
154 9 198.91
154 17 196.7
154 19 190.2
154 23 174.32
154 24 169.58
154 28 199.61
154 30 194.45
154 35 197.34
154 37 199.09
154 38 199.77
154 39 198.2
154 43 195.79
154 48 189.64
154 63 189.14
154 65 197.63
154 66 196.18
154 67 199.42
154 69 183.33
154 73 198.6
154 83 141.24
154 94 197.39
154 95 196.03
154 96 191.99
154 97 190.33
154 98 190.63
154 99 187
154 100 189.68
154 101 191.19
154 102 183.35
154 103 180.59
154 104 179.04
154 106 195.15
154 107 179.07
154 108 146.46
154 109 156.98
154 110 161.32
154 112 172.4
154 113 185.41
154 114 182.52
154 116 199.87
154 120 199.23
154 122 199.23
154 123 195.93
154 127 196.8
154 130 196.01
154 131 180.97
154 133 187.18
154 134 185.09
154 135 186.11
154 136 181.62
154 137 180.83
154 140 150.42
154 141 119.37
154 142 102.56
154 143 109.72
154 144 104.69
154 145 198.77
154 146 152.14
165 175 18.86
165 184 33.87
165 192 81.04
165 195 59.48
165 3 54.7
165 10 20.88
165 1 26.11
165 26 181.06
165 34 183.14
165 36 179.44
165 41 173.85
165 51 174.33
165 61 159.13
165 111 151.33
165 118 147.47
165 121 171.4
165 126 173.63
165 139 187.91
165 147 176.46
165 148 188.87
165 149 181.46
165 150 179.27
165 151 183.59
165 152 185.17
165 153 144.03
165 155 140.97
165 156 113.69
165 163 167.49
165 164 170.55
165 166 135.18
165 167 173.21
165 168 100.75
165 169 118.66
165 170 122.43
165 23 189.45
165 24 184.7
165 69 198.36
165 83 156.27
165 102 198.32
165 103 195.61
165 104 194.02
165 107 194.16
165 108 160.39
165 109 169.54
165 110 174.51
165 112 184.11
165 113 195.95
165 114 193.96
165 131 191.36
165 133 196.06
165 134 193.92
165 135 194.92
165 136 190.94
165 137 190.01
165 138 190.3
165 140 139.17
165 141 113.01
165 142 96.45
165 143 94.67
165 144 91.19
165 145 184.16
165 146 138.1
175 184 45.67
175 192 76.58
175 195 71.82
175 3 67.78
175 10 26.02
175 1 28.52
175 26 169.17
175 34 174.24
175 36 169.61
175 41 164.5
175 51 172.78
175 61 151.33
175 111 148.31
175 118 133.66
175 121 158.78
175 126 160.72
175 139 175.06
175 147 164.11
175 148 176.47
175 149 168.2
175 150 166.37
175 151 169.07
175 152 171.29
175 153 147.69
175 155 142.1
175 156 115.42
175 160 196.56
175 162 198.45
175 163 160.12
175 164 162.66
175 166 140.35
175 167 165.97
175 168 82.04
175 169 99.81
175 170 104.4
175 172 184.87
175 173 183.41
175 174 191.92
175 176 192.77
175 177 195.19
175 178 198.97
175 179 194.23
175 190 197.32
175 191 199.45
175 194 194.11
175 4 190.67
175 5 197.35
175 6 199.23
175 7 193.57
175 8 193.8
175 9 193.97
175 11 197.21
175 13 195.19
175 14 195.7
175 16 198.28
175 17 191.93
175 19 185.46
175 23 171.26
175 24 166.47
175 28 196.85
175 29 198.03
175 30 192.16
175 35 194.55
175 37 196.27
175 38 197.22
175 39 195.4
175 43 193.01
175 45 197.25
175 48 186.69
175 63 186.44
175 65 194.81
175 66 193.32
175 67 195.83
175 69 179.84
175 71 197.06
175 72 196.8
175 73 195.13
175 83 137.75
175 94 193.87
175 95 192.31
175 96 188.44
175 97 186.99
175 98 187.16
175 99 183.12
175 100 186.26
175 101 187.93
175 102 179.69
175 103 177.05
175 104 175.42
175 106 191.82
175 107 175.81
175 108 141.61
175 109 151.45
175 110 156.05
175 112 166.62
175 113 179.4
175 114 176.68
175 116 193.96
175 119 196.94
175 120 193.1
175 122 193.11
175 123 189.81
175 124 196.32
175 125 198.21
175 127 190.85
175 128 194.75
175 130 189.93
175 131 174.93
175 132 198.52
175 133 180.99
175 134 178.9
175 135 179.92
175 136 175.46
175 137 174.66
175 140 149.2
175 141 116
175 142 99.16
175 143 112.17
175 144 105.17
175 146 153.01
184 192 63.24
184 195 26.22
184 3 22.15
184 10 54.06
184 1 59.54
184 61 193
184 111 184.34
184 118 179.23
184 153 172.97
184 155 171.9
184 156 144.54
184 166 162.82
184 168 117.07
184 169 136.8
184 170 147.59
184 23 199.56
184 24 195.16
184 83 169.24
184 108 180.71
184 109 194.1
184 110 197.31
184 140 160.57
184 141 142.97
184 142 126.95
184 143 98.74
184 144 107.04
184 145 190.51
184 146 149.4
192 195 67.22
192 3 69.17
192 10 99.87
192 1 103.83
192 118 191.12
192 156 191.93
192 168 96.78
192 169 116.36
192 170 141.42
192 19 197.3
192 23 157.83
192 24 154.23
192 25 181.05
192 27 180.38
192 28 177.05
192 29 178.77
192 30 166.36
192 31 179.08
192 32 180.08
192 33 178.1
192 35 175.42
192 37 177.34
192 38 174.57
192 39 176.19
192 40 179.03
192 42 180.08
192 43 173.75
192 44 180.51
192 45 178.28
192 47 182.66
192 48 170.38
192 49 186.08
192 50 180.72
192 52 181.08
192 53 181.24
192 55 186.72
192 56 179.44
192 57 195.74
192 58 179.57
192 59 176.1
192 60 182.18
192 62 179.98
192 63 166.57
192 64 181.19
192 65 175.92
192 66 175.28
192 67 188.1
192 69 171.88
192 70 197.6
192 71 186.45
192 72 186.98
192 73 185.65
192 83 134.62
192 88 191.12
192 92 193.05
192 93 197.93
192 94 185.17
192 95 186.8
192 96 180.65
192 97 176.1
192 98 178.38
192 99 180.76
192 100 176.69
192 101 175.95
192 102 174.43
192 103 170.16
192 104 169.73
192 106 180.56
192 107 164.81
192 108 159.57
192 109 181.78
192 110 180.43
192 141 192.25
192 142 175.44
192 143 161.94
192 144 168.55
195 3 5.55
195 10 78.79
195 1 84.35
195 153 192.49
195 155 193.2
195 156 166.01
195 166 181.36
195 168 138.87
195 169 159.01
195 170 172.33
195 83 188.51
195 140 174.27
195 141 163.69
195 142 148.32
195 143 102.31
195 144 118.52
195 145 192.03
195 146 155.79
3 10 73.7
3 1 79.27
3 153 186.94
3 155 187.68
3 156 160.49
3 166 175.83
3 168 136.98
3 169 157.01
3 170 169.31
3 83 187.47
3 140 168.95
3 141 158.15
3 142 142.8
3 143 97.9
3 144 113.31
3 145 188.1
3 146 151.15
10 1 5.57
10 26 163.94
10 34 164.03
10 36 160.87
10 41 155.02
10 51 153.45
10 61 139.58
10 111 130.52
10 118 132.49
10 121 155
10 126 157.48
10 139 171.62
10 147 159.78
10 148 172.16
10 149 165.62
10 150 163.08
10 151 169.15
10 152 169.96
10 153 124.08
10 155 120.33
10 156 93.11
10 160 189.17
10 162 184.71
10 163 147.73
10 164 150.99
10 166 115.85
10 167 153.38
10 168 102.22
10 169 117.97
10 170 115.47
10 172 197.76
10 173 196.32
10 23 192.82
10 24 187.93
10 83 158.33
10 102 199.46
10 103 197.22
10 104 195.39
10 107 196.82
10 108 156.86
10 109 162.21
10 110 168.67
10 112 174.86
10 113 184.54
10 114 184.13
10 119 199.72
10 120 195.97
10 122 196.25
10 123 192.65
10 127 196.89
10 128 199
10 130 193.86
10 131 179.76
10 132 199.26
10 133 182.25
10 134 180.08
10 135 181.04
10 136 177.76
10 137 176.65
10 138 177.69
10 140 123.21
10 141 92.76
10 142 76.07
10 143 91.32
10 144 80.17
10 145 176.55
10 146 128.35
1 26 158.54
1 34 158.46
1 36 155.33
1 41 149.46
1 51 148.35
1 61 134
1 111 125.23
1 118 127.43
1 121 149.7
1 126 152.22
1 139 166.33
1 147 154.44
1 148 166.81
1 149 160.4
1 150 157.81
1 151 164.15
1 152 164.83
1 153 119.96
1 155 115.65
1 156 88.54
1 160 183.66
1 162 179.18
1 163 142.16
1 164 145.42
1 166 112.12
1 167 147.81
1 168 101.11
1 169 116.2
1 170 112.16
1 172 194.56
1 173 193.13
1 194 198.66
1 19 198.23
1 23 191.89
1 24 186.96
1 69 198.8
1 83 157.13
1 102 197.92
1 103 195.82
1 104 193.92
1 107 195.69
1 108 154.25
1 109 158.68
1 110 165.47
1 112 170.88
1 113 180.1
1 114 180.01
1 116 196.24
1 119 194.97
1 120 191.23
1 122 191.55
1 123 187.91
1 124 195.47
1 125 197.51
1 127 192.55
1 128 194.42
1 130 189.25
1 131 175.29
