radius,num_clust,max_clust_size,max_normalized,mean_clust_size,median_clust_size
5000,20,20,0.102564102564103,2.35,1
10000,24,24,0.123076923076923,3.04166666666667,2
15000,10,57,0.292307692307692,7.6,1.5
20000,9,66,0.338461538461538,8.44444444444444,1
25000,6,71,0.364102564102564,13.1666666666667,1.5
30000,6,71,0.364102564102564,13.5,1.5
35000,4,71,0.364102564102564,20.25,4.5
40000,5,71,0.364102564102564,16.8,2
45000,2,82,0.420512820512821,42,42
50000,2,84,0.430769230769231,43.5,43.5
55000,1,88,0.451282051282051,88,88
60000,1,88,0.451282051282051,88,88
