PlcIndex,ClstRad5000,ClstRad10000,ClstRad15000,ClstRad20000,ClstRad25000,ClstRad30000,ClstRad35000,ClstRad40000,ClstRad45000,ClstRad50000,ClstRad55000,ClstRad60000
'12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,3,3,3,1,1,1,1,1,1,1,1
10,NA,3,3,3,1,1,1,1,1,1,1,1
103,11,15,8,4,3,3,2,2,1,1,1,1
104-105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,16,15,8,4,3,3,2,2,1,1,1,1
107,NA,15,8,4,3,3,2,2,1,1,1,1
108,NA,NA,NA,NA,3,3,2,2,1,1,1,1
109,NA,NA,9,9,3,3,2,2,1,1,1,1
11,6,14,8,4,3,3,2,2,1,1,1,1
110-111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112-117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118-121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122-123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124-126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,22,4,4,3,3,2,2,1,1,1,1
128,18,23,4,4,3,3,2,2,1,1,1,1
129,1,1,1,1,1,1,1,1,1,1,1,1
130,NA,23,4,4,3,3,2,2,1,1,1,1
131-133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,19,24,4,4,3,3,2,2,1,1,1,1
135,19,24,4,4,3,3,2,2,1,1,1,1
136,20,24,4,4,3,3,2,2,1,1,1,1
137,20,24,4,4,3,3,2,2,1,1,1,1
138-140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,6,14,8,4,3,3,2,2,1,1,1,1
141-142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,1
144,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,1
145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
147,NA,4,4,4,3,3,2,2,1,1,1,1
148-154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,7,14,8,4,3,3,2,2,1,1,1,1
155-163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,6,14,8,4,3,3,2,2,1,1,1,1
164-165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,NA,NA,6,6,4,5,3,3,1,1,1,1
167-168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,NA,NA,NA,NA,6,6,4,4,1,1,1,1
17,6,14,8,4,3,3,2,2,1,1,1,1
170,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1
171,NA,8,8,4,3,3,2,2,1,1,1,1
172,3,9,8,4,3,3,2,2,1,1,1,1
173,3,9,8,4,3,3,2,2,1,1,1,1
175,NA,1,1,1,1,1,1,1,1,1,1,1
176-177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,NA,10,8,4,3,3,2,2,1,1,1,1
179,NA,10,8,4,3,3,2,2,1,1,1,1
18,NA,13,8,4,3,3,2,2,1,1,1,1
180,NA,11,8,4,3,3,2,2,1,1,1,1
181,NA,11,8,4,3,3,2,2,1,1,1,1
183,5,12,8,4,3,3,2,2,1,1,1,1
184,NA,NA,NA,NA,2,2,1,1,1,1,1,1
185,NA,8,8,4,3,3,2,2,1,1,1,1
186,NA,12,8,4,3,3,2,2,1,1,1,1
187,NA,8,8,4,3,3,2,2,1,1,1,1
188-189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
