"PlcIndex.1","PlcIndex.2","Easting","Northing"
1,1,478969.2,5926334
2,2,574358.5,5963685
3,3,512848.9,5959248
4,4,515451.0,5958360
5,5,521995.4,5972015
6,6,519169.4,5953367
7,7,494510.9,5991808
8,8,442626.5,5955657
9,9,478449.6,6012531
10,10,483837.1,6011211
11,11,541965.9,5965909
12,13,546242.1,5962333
14,14,638304.1,5833258
15,15,663475.1,5855717
16,16,653995.3,5850458
17,17,653051.1,5857788
18,18,689215.9,5922740
19,25,650450.7,5878085
26,26,662903.0,5916813
27,27,599570.4,5846594
28,28,625108.6,5835097
29,30,623737.8,5831321
31,31,633232.1,5820565
32,32,630876.8,5833146
33,33,638472.1,5823338
34,34,624884.0,5822540
35,35,627295.6,5826930
36,37,611409.4,5811674
38,38,620149.1,5815002
39,39,666000.9,5969229
40,40,661231.0,5949945
41,41,634557.7,5956063
42,42,655599.7,5791354
43,43,663106.9,5776762
44,44,675740.4,5788101
45,45,667472.9,5824369
46,46,644475.1,5781092
47,47,697452.0,5866204
48,48,659796.5,5876810
49,49,659535.7,5871172
50,50,656921.5,5980267
51,51,665420.5,5874897
52,52,495733.2,5874744
53,53,501299.8,5855173
54,54,537227.9,5850536
55,55,480414.4,5731387
56,56,527456.6,5768683
57,58,527277.3,5770134
59,60,537520.2,5762322
61,61,543889.6,5762189
62,62,537583.0,5759048
63,64,556636.6,5757961
65,65,551748.4,5761894
66,66,435382.4,5729446
67,67,432053.0,5720220
68,68,450828.7,5730971
69,71,510582.4,5725335
72,72,493924.1,5735554
73,74,503033.9,5726376
75,75,487174.2,5734300
76,76,507399.7,5721561
77,77,499133.8,5714079
78,78,531628.0,5756442
79,80,563495.2,5758908
81,81,516428.6,5740644
82,96,563729.8,5764442
97,102,526984.7,5743161
103,103,512467.1,5762815
104,105,512102.0,5756141
106,106,507714.3,5754464
107,107,509193.4,5760058
108,108,513047.2,5759665
109,109,514459.4,5759453
110,111,511070.8,5756324
112,117,514133.8,5746383
118,121,515149.9,5758219
122,123,511716.3,5757808
124,126,514854.5,5748455
127,127,516686.7,5755103
128,128,506234.7,5761876
129,129,498168.6,5706387
130,130,504931.7,5768456
131,133,492078.7,5744299
134,134,484284.1,5741970
135,135,494231.5,5752823
136,136,447338.5,5797900
137,137,450688.8,5801635
138,140,419493.8,5776088
141,142,422105.0,5776448
143,143,427280.8,5779274
144,144,428204.9,5777468
145,145,415591.8,5791512
146,146,405464.8,5780476
147,147,417365.8,5777359
148,154,405218.9,5781532
155,163,429487.0,5780726
164,165,429440.8,5778810
166,166,420736.8,5782465
167,168,429039.5,5779990
169,169,409479.8,5779722
170,170,409176.1,5778707
171,171,429605.7,5782393
172,172,404168.7,5779296
173,173,429085.5,5777888
174,174,420736.8,5782465
175,175,410531.2,5775839
176,177,437809.4,5785342
178,178,400137.2,5774492
179,179,413087.8,5777370
180,180,415945.1,5776548
181,181,413040.6,5776846
182,182,420736.8,5782465
183,183,401563.8,5773506
184,184,422897.9,5777301
185,185,389738.0,5767201
186,186,411023.4,5778890
187,187,408871.6,5782823
188,189,418222.6,5775120
190,191,423022.3,5776743
192,192,430143.6,5789554
193,193,406976.8,5778006
194,194A,429935.5,5780194
195,196,432260.3,5780687
197,203,455933.3,5768030
204,204,457521.1,5784423
205,205,454321.6,5758405
206,213,448785.4,5769304
214,214,450723.1,5768851
215,218A,451821.8,5770231
219,219,448638.5,5751292
220,220,422571.0,5736393
221,221,445852.4,5748108
222,222,439742.3,5745675
223,223,439742.3,5745675
224,224,463809.2,5748409
225,225,461999.4,5744221
226,226,473188.1,5743253
227,227,471531.7,5748143
228,228,471438.2,5824151
229,229,419768.3,5752907
230,230,419013.1,5749922
231,232,406072.7,5752156
233,233,423292.6,5744725
234,234,429397.1,5764998
235,235,419124.0,5752052
236,237,410310.9,5744415
238,238,416047.5,5753215
239,239,429636.4,5763048
240,240,427260.5,5758324
241,241,453845.3,5770830
242,242A,461736.7,5769836
243,246,456760.6,5775562
246A,246B,449823.5,5779706
247,247,454650.2,5777682
248,248,469965.9,5776978
249,249,452954.5,5779273
250,250,447202.0,5779764
251,251,463600.0,5782490
252,252,460251.5,5786409
253,253,463065.2,5787159
254,254,463065.2,5787159
255,256,448142.2,5775181
256A,256A,451531.1,5791090
257,257,511966.5,5811939
258,258,542389.0,5803703
259,259,529795.2,5797678
260,260,561044.3,5792095
261,261,584836.7,5786420
262,262,568420.1,5783694
263,265,587350.2,5755591
266,268,578909.6,5768831
269,269,585433.3,5760471
270,271,606830.2,5777017
272,281,604783.2,5780280
282,282,602958.3,5779377
283,284,603672.4,5783410
285,285,599657.3,5774303
286,290,599358.7,5772102
291,291,581886.5,5773113
292,299,595869.7,5774352
300,300,596447.6,5779864
301,301,585508.1,5791500
302,302,621233.0,5783097
303,303,610096.7,5796870
304,304,609632.1,5799023
305,305,610461.9,5798331
306,306,601427.3,5798384
307,308,603019.0,5800148
309,310,681035.0,6076514
311,311,652548.0,6020240
312,312,634702.5,5963767
313,313,617941.8,5962139
314,314,572913.0,6051825
315,315,596328.2,6024837
316,316,643852.8,6110097
317,317,625804.5,6063096
