"ID1" "ID2" "d12"
2 129 47235.5
2 154 48544.66
2 165 62753.89
2 175 48444.3
2 184 67293.46
2 192 46697.25
2 195 86199.44
2 3 85017.15
2 10 74396.19
2 1 76299.49
2 168 54244.52
2 169 74581.99
2 170 95599.72
68 129 61669.4
68 154 59147.77
68 165 53021.52
68 175 56145.37
68 184 84655.35
68 10 32468.84
68 1 28148.9
68 153 91809.91
68 155 87952.29
68 156 60679.82
68 166 84211.63
68 140 96499.02
68 141 60343.99
68 142 43610.65
68 143 88152.03
68 144 64978.64
129 154 2749.5
129 165 15705.3
129 175 8633.48
129 184 37368.75
129 192 70314.22
129 195 63422.82
129 3 59513.65
129 10 29869.16
129 1 33535.37
129 168 86219.34
154 165 15142.69
154 175 6225.37
154 184 39462.21
154 192 72874.62
154 195 65602.6
154 3 61585.22
154 10 27568.73
154 1 31046.46
154 168 85908.47
165 175 18861.18
165 184 33869.61
165 192 81037.18
165 195 59479.65
165 3 54702.88
165 10 20883.13
165 1 26108.22
165 142 96453.25
165 143 94669.2
165 144 91189.4
175 184 45670.04
175 192 76577.17
175 195 71823.22
175 3 67781.73
175 10 26018.95
175 1 28518.87
175 168 82040.89
175 169 99806.35
175 142 99161.14
184 192 63236.8
184 195 26219.1
184 3 22145.6
184 10 54062.26
184 1 59538.78
184 143 98736.9
192 195 67216.32
192 3 69171
192 10 99867.06
192 168 96783.81
195 3 5546.96
195 10 78790.84
195 1 84354.63
3 10 73697.13
3 1 79268.25
3 143 97897.92
10 1 5574.19
10 156 93113.83
10 141 92761.25
10 142 76069.3
10 143 91319.92
10 144 80173.35
1 156 88537.93
1 141 88471.98
1 142 71699.93
1 143 93381.78
1 144 80095.79
26 34 33733.72
26 36 23281.95
26 41 28621.41
26 61 46443.56
26 111 87100.53
26 118 40965.06
26 121 13323
26 126 14694.48
26 139 13669.13
26 147 7428.17
26 148 9921.34
26 149 17175.06
26 150 12697.77
26 151 34484.82
26 152 25746.54
26 157 45333.16
26 158 61701.21
26 159 58656.92
26 160 30493.3
26 161 52529.97
26 162 67704.22
26 163 48565.91
26 164 43454.01
26 167 49689.57
26 112 87541.45
26 113 71081.67
26 114 85676.3
26 115 92889.72
26 116 87627.47
26 117 89962.5
26 119 64449.25
26 120 62692.23
26 122 64440.28
26 123 60698.1
26 124 70493.63
26 125 72503.77
26 127 82464.71
26 128 72599.35
26 130 67844.8
26 131 67314.26
26 132 52986.56
26 133 46041.09
26 134 44655.76
26 135 44666.89
26 136 50755.58
26 137 48387.52
34 36 10840.65
34 41 10627.88
34 51 71796.03
34 61 25884.14
34 111 61098.96
34 118 64552.66
34 121 43556.53
34 126 46628.23
34 139 46371.21
34 147 39649.58
34 148 40908.54
34 149 50891.83
34 150 46234.53
34 151 68195.29
34 152 59454.27
34 155 94254.98
34 157 64842.65
34 158 78955.9
34 159 68718.91
34 160 31601.74
34 161 77005.51
34 162 35558.38
34 163 21411.28
34 164 15949.69
34 167 19278.33
34 119 96965.59
34 120 95579.28
34 122 97417.09
34 123 93833.42
34 132 84012.04
34 133 79449.51
34 134 78187.29
34 135 78125.37
34 136 84480.78
34 137 82114.97
36 41 7390.56
36 51 80405.99
36 61 27853.67
36 111 66950.14
36 118 54561.98
36 121 32717.16
36 126 35801.33
36 139 36396.6
36 147 28882.09
36 148 31248.2
36 149 40334.81
36 150 35587.15
36 151 57600.03
36 152 49017.15
36 155 99749.67
36 157 59125.75
36 158 74257.52
36 159 66039.55
36 160 29364.81
